"";"carr";"mate";"cien";"soci";"text";"imag";"exam";"gene";"estr";"orig";"edad";"niLE";"niMa";"stra";"age"
"1";"Biol";12,03;10,84;12,08;10,62;10,68;696,4424;"F";"alto";"Bogo";"a17";"noLE";"siMa";"E4";17
"2";"Biol";11,75;11,16;11,71;10,35;11,6;703,2127;"M";"medio";"Bogo";"a17";"noLE";"siMa";"E3";17
"3";"Biol";10,03;10,51;10,7;9,57;8,8;503,9774;"F";"bajo";"Bogo";"a18";"siLE";"siMa";"E2";18
"4";"Biol";11,48;11,48;11,71;10,91;11,6;714,7407;"F";"bajo";"Bogo";"a18";"noLE";"siMa";"E2";18
"5";"Biol";11,21;10,84;12,08;11,21;11,26;693,1449;"M";"medio";"Bogo";"a17";"noLE";"siMa";"E3";17
"6";"Biol";11,75;10,84;11,36;10,91;10,96;675,0821;"F";"medio";"Bogo";"a17";"noLE";"siMa";"E3";17
"7";"Biol";10,93;11,48;12,08;12,35;10,96;718,5616;"F";"medio";"Bogo";"a17";"noLE";"siMa";"E3";17
"8";"Biol";11,48;11,16;11,03;11,92;11,6;699,8995;"M";"medio";"Bogo";"a17";"noLE";"siMa";"E3";17
"9";"Biol";12,31;14,6;10,38;10,35;10,15;758,5971;"F";"medio";"Bogo";"a19M";"noLE";"noMa";"E3";19
"10";"Biol";12,31;11,48;13,43;11,92;10,68;796,8844;"M";"medio";"Bogo";"a18";"noLE";"noMa";"E3";18
"11";"Biol";10,93;11,16;11,36;10,91;12,01;683,2054;"M";"bajo";"Bogo";"a17";"noLE";"siMa";"E2";17
"12";"Biol";10,64;12,45;12,92;11,21;11,26;755,933;"M";"medio";"Bogo";"a17";"noLE";"siMa";"E3";17
"13";"Biol";12,03;12,12;13,43;12,87;12,01;859,0339;"M";"medio";"Bogo";"a16m";"noLE";"siMa";"E3";16
"14";"Biol";11,21;11,8;11,03;12,87;12,54;752,3843;"F";"alto";"Bogo";"a17";"noLE";"siMa";"E4";17
"15";"Biol";11,21;11,8;12,92;11,92;13,37;818,4096;"M";"medio";"Bogo";"a17";"noLE";"siMa";"E3";17
"16";"Biol";12,03;11,8;10,7;11,92;11,26;721,108;"M";"medio";"Bogo";"a18";"noLE";"siMa";"E3";18
"17";"Biol";11,21;10,16;12,48;11,21;12,01;701,844;"M";"medio";"Bogo";"a19M";"noLE";"siMa";"E3";20
"18";"Biol";11,48;12,45;11,03;10,91;10,96;708,7163;"F";"medio";"Bogo";"a19M";"noLE";"siMa";"E3";20
"19";"Biol";10,93;16,52;12,48;11,21;11,6;897,2008;"M";"alto";"Otro";"a17";"noLE";"siMa";"E4";17
